"DataIncontro","SquadraA","SquadraB","EsitoIncontro","EsitoIncontroPerML","PercAttaccoA","PercAttaccoB","PercMuroA","PercMuroB","PercBattutaA","PercBattutaB"
"2013-09-24 17:30:00","4982","4977","0-3","3","24","32","0","-9","3","-1"
"2013-09-26 00:00:00","4991","MODE","3-2","2","31","29","0","-4","21","28"
"2013-09-28 00:00:00","4991","4995","1-3","4","30","40","-13","22","0","11"
"2013-09-28 18:00:00","CAS","ALESS","1-3","4","33","24","-4","7","0","11"
"2013-09-28 20:00:00","VIB","4988","3-1","1","31","24","22","-2","6","25"
"2013-09-29 17:00:00","4988","4992","1-3","4","32","36","-16","-18","-2","3"
"2013-09-29 18:00:00","4989","MAT","3-2","2","25","18","27","6","5","-5"
"2013-10-03 00:00:00","4991","4833","3-1","1","33","27","5","-3","9","18"
"2013-10-05 17:00:00","4982","4989","3-1","1","38","29","25","6","9","-3"
"2013-10-05 18:00:00","CAS","MAT","1-3","4","22","34","-6","3","-3","3"
"2013-10-09 00:00:00","4991","LUG","2-3","5","26","34","-12","5","14","3"
"2013-10-09 00:00:00","CAS","ALESS","3-1","1","42","16","2","-21","4","12"
"2013-10-12 00:00:00","4988","4972","0-3","3","22","50","-38","-17","-7","4"
"2013-10-12 00:00:00","4991","LUG","0-3","3","19","32","2","9","3","5"
"2013-10-12 17:00:00","4987","0001","0-3","3","23","40","-20","-8","28","20"
"2013-10-12 18:00:00","CAS","COR","3-0","0","29","31","3","-16","8","-13"
"2013-10-13 17:00:00","4995","LUG","1-3","4","31","38","-9","-5","7","10"
"2013-10-13 18:00:00","4989","4982","0-3","3","28","43","10","10","8","16"
"2013-10-20 00:00:00","4982","4987","3-2","2","31","30","11","-3","17","4"
"2013-10-20 00:00:00","4994","4991","0-3","3","11","28","-15","17","16","-1"
"2013-10-20 18:00:00","4983","4984","0-3","3","16","43","3","5","-9","15"
"2013-10-20 18:00:00","4993","4988","0-3","3","22","43","-29","9","-7","11"
"2013-10-20 18:00:00","4995","4985","3-0","0","41","27","11","-11","8","8"
"2013-10-26 20:30:00","4988","4995","1-3","4","17","30","5","10","7","5"
"2013-10-27 18:00:00","4982","4983","3-0","0","31","40","-9","-20","25","-6"
"2013-10-27 18:00:00","4985","4987","0-3","3","18","45","-24","31","15","12"
"2013-10-27 18:00:00","4989","4994","3-0","0","43","19","3","-18","14","-2"
"2013-10-27 18:00:00","4993","4991","0-3","3","15","32","7","13","6","9"
"2013-11-03 00:00:00","4983","4988","0-3","3","26","44","15","-8","-2","15"
"2013-11-03 18:00:00","4991","4989","3-2","2","32","33","2","13","13","26"
"2013-11-03 18:00:00","4993","4982","1-3","4","32","36","15","13","2","16"
"2013-11-03 18:00:00","4994","4984","3-1","1","48","28","0","-21","18","5"
"2013-11-03 18:00:00","4995","4987","1-3","4","13","32","-2","41","1","5"
"2013-11-10 00:00:00","4983","4995","1-3","4","16","31","10","18","13","13"
"2013-11-10 18:00:00","4982","4985","3-0","0","45","35","-5","14","-1","-6"
"2013-11-10 18:00:00","4988","4989","3-0","0","49","18","20","-25","-15","-2"
"2013-11-10 18:00:00","4990","4994","3-1","1","39","25","-7","-7","6","1"
"2013-11-10 18:00:00","4993","4987","1-3","4","28","41","-17","-5","10","4"
"2013-11-17 18:00:00","4989","4985","3-1","1","38","24","8","-31","8","10"
"2013-11-17 18:00:00","4990","4987","3-0","0","40","25","8","-10","26","16"
"2013-11-17 18:00:00","4991","4983","3-1","1","35","12","2","-22","7","16"
"2013-11-17 18:00:00","4993","4995","2-3","5","33","27","7","0","3","11"
"2013-11-17 18:00:00","4994","4988","3-0","0","42","21","7","-9","14","11"
"2013-11-24 00:00:00","4985","4991","1-3","4","25","38","-13","8","15","19"
"2013-11-24 18:00:00","4982","4990","2-3","5","36","38","18","8","3","3"
"2013-11-24 18:00:00","4987","4994","3-0","0","36","3","41","9","9","-10"
"2013-11-24 18:00:00","4988","4984","0-3","3","29","28","-13","-21","3","9"
"2013-11-24 18:00:00","4993","4983","2-3","5","25","17","1","-7","10","10"
"2013-11-24 18:00:00","4995","4989","1-3","4","22","27","-5","13","2","12"
"2013-11-30 20:30:00","4984","4985","3-0","0","39","13","24","0","13","2"
"2013-12-01 18:00:00","4990","4995","3-0","0","38","15","-17","0","11","-7"
"2013-12-01 18:00:00","4993","4989","1-3","4","21","30","2","10","13","15"
"2013-12-01 18:00:00","4994","4983","3-0","0","54","14","31","-30","7","8"
"2013-12-08 00:00:00","4982","4991","1-3","4","13","36","-5","33","4","6"
"2013-12-08 18:00:00","4983","4990","3-2","2","30","36","-10","11","7","5"
"2013-12-08 18:00:00","4993","4994","3-0","0","23","27","-10","5","18","-7"
"2013-12-08 18:00:00","4995","4984","1-3","4","35","38","-8","10","9","5"
"2013-12-15 18:00:00","4989","4984","0-3","3","11","29","31","19","18","3"
"2013-12-15 18:00:00","4993","4990","2-3","5","26","39","0","2","7","10"
"2013-12-15 18:00:00","4994","4985","3-2","2","29","23","-3","-10","1","14"
